Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Wind Direction (Day),Average Wind Speed (Day),Visibility,Relative Humidity,Average Wind Speed (Period),Average Barometric Pressure (Period),Hours from Noon,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Sky Cover_1,Sky Cover_2,Sky Cover_3,Sky Cover_4
1.0,0.1004611074125196,0.6388888888888888,0.7428571428571428,0.49019607843137253,0.9999999999999999,0.627906976744186,0.3684210526315789,0.3809523809523796,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.22722256317106584,0.3333333333333335,0.7428571428571428,0.9411764705882354,0.9999999999999999,0.5813953488372092,1.0,0.39047619047619264,0.30000000000000004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.42251113232722,0.13888888888888906,0.5428571428571428,0.29803921568627445,0.9999999999999999,0.6395348837209303,0.2894736842105263,0.6285714285714299,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.0902098035110884,0.6944444444444444,0.7999999999999999,0.37647058823529406,0.9999999999999999,0.6511627906976745,0.13157894736842105,0.33333333333333215,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.10637632243682082,0.5833333333333335,0.7428571428571428,0.5019607843137256,0.9999999999999999,0.7093023255813953,0.2631578947368421,0.42857142857142705,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5917304504472358,0.36111111111111116,0.48571428571428565,0.27843137254901956,0.5897435897435898,0.9186046511627906,0.13157894736842105,0.5333333333333314,0.7000000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.4158883535437335,0.75,0.3714285714285714,0.15294117647058822,0.9999999999999999,0.1511627906976744,0.0,0.5428571428571445,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.513077861736864,0.6388888888888888,0.8285714285714285,0.2941176470588235,0.9999999999999999,0.8488372093023255,0.15789473684210525,0.32380952380952266,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.9952009227070518,0.13888888888888906,0.34285714285714286,0.0980392156862745,0.9999999999999999,0.7325581395348837,0.15789473684210525,0.39047619047619264,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.06786393805308821,0.38888888888888884,0.39999999999999997,0.3254901960784314,0.3846153846153846,0.9186046511627906,0.18421052631578946,0.485714285714284,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.23633106109399812,0.36111111111111116,0.48571428571428565,0.27843137254901956,0.9999999999999999,0.7093023255813953,0.3421052631578947,0.5999999999999979,0.30000000000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
